劣化名
ひび割れ
剥離
浮き
欠損
腐食
錆び
変色
汚れ
カビ
藻
漏水跡
結露
塗装劣化
シーリング切れ
シーリング劣化
木部腐食
金属部腐食
タイル浮き
タイル欠損
雨漏り 
